gid,date,away,home,as_,hs,st,dec,ctrl_home,p1,p2,p3,mins,home_win,ctrl_winner,flip
285,2026-03-14,Ottawa,Vancouver,3,2,regular,OT,0.61,0.053,0.003,0.057,63,False,0.39,0.0
289,2026-03-17,Toronto,Boston,2,0,regular,REG,0.528,0.019,-0.006,-0.062,60,False,0.472,0.081
313,2026-04-11,Ottawa,Toronto,2,0,regular,REG,0.623,0.067,0.063,-0.038,60,False,0.377,0.10500000000000001
269,2026-01-28,New York,Boston,3,4,regular,OT,0.536,0.043,-0.054,0.077,65,True,0.536,0.0
210,2025-11-21,Toronto,Minnesota,2,1,regular,REG,0.604,0.028,0.022,0.025,60,False,0.396,0.0
222,2025-12-04,Ottawa,Toronto,1,3,regular,REG,0.509,0.049,0.045,0.039,60,True,0.509,0.0
225,2025-12-07,Minnesota,Boston,1,4,regular,REG,0.566,0.097,-0.015,0.053,60,True,0.566,0.0
304,2026-04-01,Minnesota,New York,3,4,regular,OT,0.56,-0.002,-0.041,0.04,65,True,0.56,0.042
234,2025-12-21,Boston,Seattle,3,1,regular,REG,0.365,-0.077,-0.09,0.046,60,False,0.635,0.123
258,2026-01-18,Montréal,New York,1,2,regular,REG,0.51,-0.017,0.046,-0.031,60,True,0.51,0.0
290,2026-03-18,Ottawa,Minnesota,0,5,regular,REG,0.532,0.129,0.046,-0.004,60,True,0.532,0.133
260,2026-01-20,Ottawa,New York,4,3,regular,OT,0.458,0.046,0.018,0.103,62,False,0.542,0.0
220,2025-12-03,Vancouver,Boston,0,2,regular,REG,0.537,0.113,-0.02,-0.017,60,True,0.537,0.13
343,2026-05-08,Boston,Ottawa,1,2,playoffs,REG,0.44,0.02,-0.11,-0.006,60,True,0.44,0.026000000000000002
322,2026-04-21,New York,Toronto,1,0,regular,OT,0.4,-0.041,-0.008,0.015,63,False,0.6,0.056
276,2026-03-03,Montréal,Toronto,4,3,regular,OT,0.451,-0.006,-0.038,-0.02,65,False,0.5489999999999999,0.0
308,2026-04-04,Seattle,New York,1,2,regular,OT,0.536,0.036,-0.008,0.091,65,True,0.536,0.0
242,2025-12-31,Vancouver,New York,0,2,regular,REG,0.471,0.029,-0.011,0.006,60,True,0.471,0.0
351,2026-05-16,Ottawa,Montréal,1,2,playoffs,OT,0.6,-0.006,0.017,0.017,75,True,0.6,0.023
309,2026-04-07,Seattle,Montréal,1,4,regular,REG,0.423,-0.016,0.074,0.007,60,True,0.423,0.023
320,2026-04-18,Vancouver,Seattle,6,5,regular,OT,0.491,0.05,-0.058,-0.08,61,False,0.509,0.13
299,2026-03-27,Boston,Toronto,4,0,regular,REG,0.396,-0.078,-0.046,-0.032,60,False,0.604,0.0
217,2025-11-29,Vancouver,New York,1,5,regular,REG,0.63,0.064,0.057,0.009,60,True,0.63,0.0
277,2026-03-04,Seattle,Ottawa,3,4,regular,REG,0.474,0.086,-0.064,-0.029,60,True,0.474,0.11499999999999999
300,2026-03-28,New York,Montréal,1,3,regular,REG,0.577,-0.086,0.045,0.092,60,True,0.577,0.178
253,2026-01-11,Vancouver,Montréal,0,1,regular,REG,0.481,0.031,0.04,-0.022,60,True,0.481,0.053
314,2026-04-11,Montréal,Boston,1,0,regular,REG,0.49,0.005,-0.01,0.003,60,False,0.51,0.0
318,2026-04-17,Boston,Montréal,2,3,regular,OT,0.509,0.072,-0.026,-0.052,61,True,0.509,0.124
301,2026-03-29,Vancouver,Toronto,3,2,regular,REG,0.46,-0.019,-0.061,0.036,60,False,0.54,0.05499999999999999
233,2025-12-21,Ottawa,Minnesota,3,2,regular,OT,0.63,0.0,0.092,0.067,64,False,0.37,0.0
328,2026-04-25,Toronto,Ottawa,0,3,regular,REG,0.456,0.004,0.008,0.002,60,True,0.456,0.0
324,2026-04-22,Ottawa,Boston,2,1,regular,OT,0.566,0.018,0.053,-0.029,64,False,0.43400000000000005,0.047
305,2026-04-01,Vancouver,Montréal,0,3,regular,REG,0.532,0.029,-0.008,0.101,60,True,0.532,0.0
294,2026-03-21,Seattle,Boston,0,3,regular,REG,0.694,0.023,0.072,0.082,60,True,0.694,0.0
317,2026-04-15,Minnesota,Boston,2,3,regular,REG,0.62,0.032,0.057,0.025,60,True,0.62,0.0
327,2026-04-25,Minnesota,Vancouver,3,4,regular,OT,0.5,-0.001,0.023,-0.055,62,True,0.5,0.0
254,2026-01-13,Ottawa,Montréal,1,2,regular,REG,0.551,0.03,0.036,0.013,60,True,0.551,0.0
288,2026-03-15,New York,Minnesota,3,4,regular,REG,0.481,0.042,0.087,-0.09,60,True,0.481,0.132
296,2026-03-24,Vancouver,Boston,0,2,regular,REG,0.538,0.018,0.015,0.019,60,True,0.538,0.0
