,rapm,name,pos,events_onice
8480246,-0.1390414691245029,Nick Perbix,D,527
8480281,0.05891429526229593,Alexey Toropchenko,R,329
8480289,-0.09132970189527312,Morgan Barron,C,400
8480336,-0.12489251157172215,Sean Walker,D,618
8480355,0.019370317658229982,Mark Kastelic,C,402
8480426,0.00026047616946966567,Charle-Edouard D'Astous,D,216
8480434,-0.003935378978987171,Sean Durzi,D,499
8480448,-0.12439784694859969,Parker Kelly,C,583
8480459,0.0753995241698368,Pius Suter,C,533
8480727,-0.15085895620340795,Zach Whitecloud,D,411
8480748,0.09723500852035188,Kiefer Sherwood,L,376
8480762,0.03871545184018537,Eric Robinson,L,214
8480789,0.10915027932414943,Oliver Wahlstrom,R,88
8480796,-0.2189152867012848,Martin Fehérváry,D,661
8480797,0.14083449979945087,Joel Farabee,L,488
8480798,0.1782131785407031,Philipp Kurashev,C,366
8480800,0.011068633180845715,Quinn Hughes,D,851
8480801,0.22817726054556187,Brady Tkachuk,L,777
8480802,-0.03396020598114763,Ryan McLeod,C,641
8480803,0.14722082091045943,Evan Bouchard,D,871
8480806,-0.16131575780361485,Isac Lundeström,C,437
8480807,-0.21380706582557685,Mattias Samuelsson,D,658
8480813,-0.013301015581545216,Joe Veleno,C,383
8480817,-0.15942779884257754,K'Andre Miller,D,626
8480821,-0.001268646938786477,Filip Zadina,R,79
8480823,-0.07680311467030064,Alexander Alexeyev,D,55
8480829,0.012490064033362214,Jesperi Kotkaniemi,C,282
8480830,0.17449215635401716,Andrei Svechnikov,R,643
8480831,-0.08103114083725449,Alec Regula,D,58
8480834,-0.16224616008951623,Ty Emberson,D,304
8480835,-0.010394417966346181,Jack Drury,C,452
8480839,0.0886113246331302,Rasmus Dahlin,D,888
8480840,-0.008532453647014744,Oskar Bäck,C,259
8480845,0.03311299850776478,Rasmus Kupari,C,122
8480848,-0.05735909497364633,Ty Dellandrea,C,356
8480849,0.08798645904965349,Barrett Hayton,C,454
8480855,0.04767035907508686,Jack McBain,C,325
8480860,-0.2549888705102794,Kevin Bahl,D,691
8480865,0.030990239715006213,Noah Dobson,D,696
8480870,-0.08201742678125348,Bo Groulx,C,152
8480871,0.12779484254646614,Adam Boqvist,D,197
8480873,-0.116208515949515,Rasmus Sandin,D,441
8480878,-0.10772597899217201,Nils Lundkvist,D,245
8480879,-0.12126613611085417,Jacob Bernard-Docker,D,374
8480880,0.04576144371256288,Jakub Lauko,C,123
8480884,0.04699578288292722,Calen Addison,D,205
8480887,-0.06575593209676979,Jordan Harris,D,179
8480891,-0.05358011620985531,Michael Kesselring,D,356
8480893,0.24306448710244413,Kirill Marchenko,R,569
8480950,-0.22450890029016746,Ilya Lyubushkin,D,569
8480980,-0.03120061662431286,Connor Dewar,C,396
8480990,-0.044726950527020935,Declan Chisholm,D,172
8480995,0.10275276533986341,Pontus Holmberg,R,318
8481006,-0.15900326630313757,Tyler Tucker,D,215
8481013,0.11488096848131063,Jonatan Berggren,R,151
8481014,-0.16700843477789215,Alexander Romanov,D,334
8481019,0.08445709120094777,David Gustafsson,C,70
8481024,0.12363297829369777,Linus Karlsson,C,148
8481028,-0.014635436080668352,Martin Pospisil,C,320
8481030,-0.14367239942149185,Jack St. Ivany,D,99
8481032,0.1398085167131177,Paul Cotter,L,264
8481042,0.07485401218465883,Nikolai Kovalenko,R,78
8481043,-0.0341255269904577,Cole Koepke,L,218
8481056,-0.028255091205458216,Spencer Stastney,D,179
8481058,0.042743702508512366,Jesse Ylonen,R,79
8481059,0.08188974895124262,Scott Perunovich,D,135
8481068,0.14647626372265718,Yegor Sharangovich,C,489
8481093,-0.04052367931494389,Rafael Harvey-Pinard,L,92
8481122,-0.13114081327243934,Simon Benoit,D,467
8481133,0.0358422336330408,Cole Reinhardt,L,74
8481147,-0.0028391836071681043,Reese Johnson,C,67
8481161,0.012870047686898652,Jake Christiansen,D,119
8481167,-0.07576365171546805,Brayden Pachal,D,357
8481178,0.004558705292687056,Egor Zamula,D,278
8481186,-0.04641049116298275,Logan O'Connor,R,363
8481206,-0.030722261203838634,John Ludvig,D,63
8481219,-0.049072118160459144,Jonathan Aspirot,D,122
8481237,0.07452158644728407,Kyle MacLean,C,170
8481477,-0.0814832727046394,Nico Sturm,C,331
8481481,-0.06494443631762184,Blake Lizotte,C,339
8481517,0.04930183261445997,Brett Leason,R,269
8481522,0.04555060225182786,Peyton Krebs,C,448
8481523,0.07673791158308575,Kirby Dach,C,228
8481524,-0.1024537783436452,Bowen Byram,D,663
8481525,-0.10516221051106346,Matthew Robertson,D,158
8481527,0.004156028949372552,Kaedan Korczak,D,184
8481528,0.12155507849646467,Dylan Cozens,C,786
8481532,0.020382405867237045,Alex Turcotte,C,176
8481533,0.16422952736540863,Trevor Zegras,C,460
8481535,0.06670474934440901,Nils Hoglander,L,263
8481537,-0.07492054354170384,Nikita Okhotiuk,D,98
8481540,0.2864531979876176,Cole Caufield,R,840
8481542,-0.05629984669280033,Moritz Seider,D,1097
8481546,-0.10861676396824643,Cam York,D,804
8481553,0.2037033933945889,Bobby Brink,R,394
8481554,0.1053535843916232,Kaapo Kakko,R,305
8481556,-0.031217010015548094,John Beecher,C,271
8481557,0.29328080469762574,Matt Boldy,L,789
8481559,0.13620586557870845,Jack Hughes,C,528
8481560,0.1356494744694465,Arthur Kaliyev,R,83
8481563,-0.10262996381292529,Drew Helleson,D,223
8481564,-0.0613526924638578,Ryan Johnson,D,58
8481567,-0.06317835400052135,Henry Thrun,D,237
8481568,-0.2251200118943872,Alex Vlasic,D,803
8481577,0.059624140381015475,Philip Tomasino,R,129
8481580,0.05863218435636926,Connor McMichael,C,539
8481581,-0.11459142447885956,Thomas Harley,D,565
8481582,0.066518723926134,Nicholas Robertson,L,274
8481592,0.04042850718032792,Jakob Pelletier,L,90
8481593,-0.015844999640821106,Jayden Struble,D,345
8481596,0.013989520721271947,Shane Pinto,C,529
8481598,-0.10846113303268437,Philip Broberg,D,449
8481600,-0.07863186861638274,Tobias Bjornfot,D,50
8481601,0.013188407387433475,Simon Holmstrom,R,506
8481604,0.25489126458237427,Pavel Dorofeyev,R,461
8481605,-0.08695005412039107,Jackson LaCombe,D,849
8481606,-0.01872775093537393,Jordan Spence,D,410
8481607,-0.021268017197467372,Albert Johansson,D,241
8481609,-0.10667003720617207,Vladislav Kolyachonok,D,64
8481617,0.02335197899270837,Vasily Podkolzin,R,221
8481618,0.12810260109296187,Alex Newhook,C,366
8481624,0.0178817783668137,Ilya Mikheyev,R,429
8481641,0.0912132405588639,Joel Kiviranta,L,249
8481655,-0.007017341011065293,Cole Schwindt,R,82
8481656,0.0027141088453645794,Aliaksei Protas,C,394
8481703,0.09752766224171958,Valtteri Puustinen,R,83
8481704,0.03863952836657992,Juuso Parssinen,C,120
8481708,-0.08231197487598055,Zac Jones,D,135
8481711,0.1700137892958294,Matias Maccelli,L,377
8481716,0.1283707872353818,Dmitri Voronkov,L,410
8481719,-0.07887702070202374,Max Crozier,D,157
8481721,0.032719256482544534,Arseny Gritsyuk,R,97
8481725,0.03955597864135705,Elmer Soderblom,L,105
8481726,0.06986559465960195,Adam Edstrom,C,120
8481743,-0.12538400814040412,Marc Del Gaizo,D,81
8481754,0.08149897603335254,Nikita Nesterenko,C,58
8481789,0.06063601882473691,Tye Kartye,L,319
8481806,-0.08651271686732416,Louis Crevier,D,290
8482055,0.06207661110267621,Drew O'Connor,L,411
8482062,-0.0967181437872652,Cole Smith,R,532
8482070,0.07871985442239365,Mitchell Chaffee,R,159
8482073,-0.18583274210410974,Braden Schneider,D,516
8482074,0.11789787014553073,Connor Zary,C,365
8482077,0.13356930171305328,Dylan Holloway,L,310
8482078,0.32538731536883087,Lucas Raymond,L,804
8482079,0.14750332825267237,Marco Rossi,C,481
8482087,-0.03045530129181309,Kaiden Guhle,D,415
8482088,0.05880490225059014,Justin Sourdif,R,157
8482089,0.29804413207410874,Jake Neighbours,L,485
8482090,-0.02348155522922108,Jack Finley,C,60
8482092,0.01878881125639542,Ridly Greig,C,598
8482093,0.11176434157153521,Seth Jarvis,C,851
8482094,-0.10564817237630159,Daemon Hunt,D,59
8482095,-0.1154564411180403,Tyler Kleven,D,308
8482097,0.12853512399362135,Jack Quinn,R,390
8482100,-0.0036179730054844124,Alexander Nikishin,D,186
8482103,0.030854781139708902,Ozzy Wiesblatt,C,60
8482105,-0.08837876754859385,Jake Sanderson,D,1144
8482109,0.08835814029585388,Alexis Lafrenière,L,491
8482110,-0.04027682995547996,Dawson Mercer,C,658
8482111,-0.10928118409921396,Justin Barron,D,289
8482113,0.012822259324810445,Anton Lundell,C,673
8482116,0.20206885784924364,Tim Stützle,C,925
8482117,0.06946022764738632,Lukas Reichel,L,194
8482118,0.10007896669515343,Sam Colangelo,R,73
8482122,-0.1774806950358238,Brock Faber,D,943
8482124,0.06274369783743329,Quinton Byfield,R,714
8482125,0.08573162033711323,Alexander Holtz,R,166
8482126,-0.08073643231969405,Emil Andrae,D,195
8482131,-0.08316663573471077,Donovan Sebrango,D,90
8482132,-0.04207654317867948,Brett Berard,L,50
8482133,0.17880966838721207,Thomas Bordeleau,C,78
8482142,0.025353672412870305,Jamie Drysdale,D,497
8482144,-0.03817765163439728,Jack Thompson,D,67
8482145,0.03352860139725289,Mavrik Bourque,C,205
8482146,0.1600312939760397,Luke Evangelista,R,410
8482148,0.10530284751254577,Hendrix Lapierre,C,172
8482149,0.14375240396258152,Cole Perfetti,C,393
8482155,0.06353406893190694,Alex Laferriere,R,506
8482157,0.04591922915010396,Will Cuylle,L,403
8482159,0.16917408082038393,Tyson Foerster,R,449
8482165,-0.1025000950351513,Yan Kuznetsov,D,123
8482166,-0.04229882420682677,Shakir Mukhamadullin,D,142
8482172,-0.02517606165420355,Landon Slaggert,L,112
8482175,0.1291004715690927,JJ Peterka,R,561
8482176,-0.08881697005476055,Wyatt Kaiser,D,320
8482177,0.037945015348337906,Marat Khusnutdinov,C,261
8482178,-0.08904643185203699,Ian Moore,D,111
8482192,-0.05236777689679009,Isaak Phillips,D,65
8482201,0.09542311284411359,Gage Goncalves,C,235
8482222,0.0522333201673044,Alexander Barabanov,L,110
8482245,-0.2789344989876367,Artem Zub,D,741
8482259,0.12483664913597751,Bobby McMann,C,304
8482408,0.07815206010331616,Jeff Malott,L,60
8482451,-0.008537203294895625,Mikael Pyyhtia,L,64
8482460,0.04329870785745789,Matt Rempe,C,93
8482470,-0.03730025878890855,Ilya Solovyov,D,73
8482475,0.11603548955906973,Egor Chinakhov,R,245
8482476,0.1367862073082242,Emil Heineman,L,233
8482482,-0.05650448323533408,Adam Wilsby,D,170
8482496,0.06382807449564606,Nils Aman,C,68
8482511,-0.0335643053796811,Mason Lohrei,D,397
8482516,-0.1467547315995086,Matthew Kessel,D,150
8482624,-0.037957403374059624,Daniil Miromanov,D,141
8482634,0.06700813574540877,Alex Steeves,C,58
8482652,0.11011059856153912,Walker Duehr,R,70
8482655,-0.16403828731646242,J.J. Moser,D,700
8482659,0.1346999853603196,Josh Doan,R,332
8482660,0.15903069788433358,Kent Johnson,C,364
8482665,0.23515953507083256,Matty Beniers,C,613
8482666,0.032244169451176134,Scott Morrow,D,69
8482667,0.23456657886970222,William Eklund,L,685
8482671,-0.0927388320616024,Owen Power,D,692
8482679,0.19139065810737685,Matt Coronato,R,505
8482684,0.00812923599831442,Luke Hughes,D,593
8482691,-0.11510128614755098,Aatu Räty,C,187
8482699,0.2691667784565707,Dylan Guenther,R,620
8482700,-0.049382561239880954,Nolan Allan,D,51
8482702,0.11987301929654193,Logan Stankoven,C,315
8482703,0.055883045431442485,Colton Dach,C,98
8482705,-0.020739455537458186,Cole Sillinger,C,466
8482713,0.1887777207563407,Mackie Samoskevich,R,385
8482720,0.17625516542751082,Matthew Knies,L,572
8482726,0.08544009085370306,Samuel Helenius,C,84
8482730,0.03892458396243702,Brandt Clarke,D,423
8482733,-0.12873636939122182,Logan Mailloux,D,151
8482737,0.0673282042190671,Zachary Bolduc,R,285
8482740,0.10546391814855485,Wyatt Johnston,C,745
8482742,0.045613011247511645,Zachary L'Heureux,L,113
8482745,0.11938021234972433,Mason McTavish,C,576
8482751,0.07204284639897422,Ryan Winterton,C,113
8482758,0.05292734265548768,Ville Koivunen,R,84
8482762,-0.1530625323926751,Simon Edvinsson,D,447
8482765,0.13220786734705955,Isak Rosen,R,66
8482768,-0.008036928245800906,Fedor Svechkov,C,161
8482775,-0.07718706507616412,Oliver Kapanen,C,166
8482803,-0.00935893985969707,Olen Zellweger,D,373
8482807,-0.11678270005471235,Ethan Del Mastro,D,80
8482809,0.10687243939990981,Jackson Blake,R,320
8482858,-0.017388044302692533,Ryker Evans,D,337
8482859,0.06012944408293952,Zack Ostapchuk,C,157
8482861,0.007509169775006115,Vincent Iorio,D,60
8482896,0.10815379340155128,Tyson Kozak,C,72
8482911,-0.13459389069432592,Joel Nystrom,D,65
8482929,-0.12667463859310119,Emil Lilleberg,D,382
8482947,0.053122558956716845,Zakhar Bardakov,C,50
8482964,-0.0782774706334179,Arber Xhekaj,D,384
8483395,0.02698614515375414,Arshdeep Bains,L,53
8483398,-0.09322073794923719,Declan Carlile,D,93
8483425,-0.11048780898829406,Lian Bichsel,D,168
8483431,0.1445114075168457,Logan Cooley,C,558
8483445,0.15575958157768438,Cutter Gauthier,L,372
8483447,0.09835816433111011,Conor Geekie,C,113
8483450,-0.08563413213240964,Ryan Greene,C,218
8483457,0.03345567311749998,Lane Hutson,D,564
8483460,-0.06473553783358973,David Jiricek,D,132
8483464,0.0488776314054417,Marco Kasper,C,212
8483466,0.015394013617604486,Kevin Korchinski,D,195
8483468,-5.1186165147133755e-05,Jiri Kulich,C,120
8483471,0.04699955347642972,Brad Lambert,C,50
8483476,0.16968081965736667,Jonathan Lekkerimäki,R,64
8483485,-0.056137303554600004,Denton Mateychuk,D,208
8483489,0.017809232051151883,Fraser Minten,C,182
8483490,-0.03413388180359157,Pavel Mintyukov,D,577
8483493,0.04759228385239554,Frank Nazar,C,306
8483495,-0.010723827786597806,Simon Nemec,D,269
8483497,0.09079050470924249,Jani Nyman,R,73
8483499,0.07474120856071705,Liam Ohgren,L,86
8483500,0.05827025176139798,Noah Ostlund,C,113
8483503,-0.039555420592146395,Owen Pickering,D,52
8483505,0.0875409877007171,Matthew Poitras,C,122
8483506,0.013717585087363676,Sam Rinzel,D,148
8483510,-0.008915367458757317,Elias Salomonsson,D,50
8483512,0.008209946301463204,Matt Savoie,C,213
8483513,-0.009807147752717581,Reid Schaefer,L,66
8483515,0.17795413846104824,Juraj Slafkovský,L,711
8483516,0.2051667689436438,Jimmy Snuggerud,R,161
8483524,0.10277554840942137,Shane Wright,C,265
8483525,-0.019930203100994644,Danila Yurov,R,99
8483553,0.03012655780188053,Marc Gatcomb,C,64
8483565,-0.07198475825638528,Nick Blankenburg,D,339
8483570,0.08524953230521864,Ben Meyers,C,120
8483573,0.054538575941384546,Ethen Frank,C,111
8483609,0.019653102729782976,Adam Klapka,R,143
8483678,-0.03872643172996912,Elias Pettersson,D,137
8483690,0.050361272178129635,Noah Laba,C,102
8483733,0.08523491274245562,Nikita Grebenkin,R,92
8483752,0.01908429164256257,Dominic James,C,59
8483768,-0.10145040350179525,Victor Mancini,D,71
8483808,0.183174603478514,Andrei Kuzmenko,L,532
8483890,0.12631187983098396,Braeden Bowman,R,95
8483930,0.06590954094431055,Ivan Ivan,C,54
8484136,0.023205171211958656,Max Sasson,C,109
8484142,0.12954375565592674,Denver Barkey,C,68
8484144,0.23536962045588092,Connor Bedard,C,678
8484145,0.10526726025984011,Zach Benson,L,391
8484149,0.08571963217995102,Gavin Brindley,C,62
8484153,0.16098973156348825,Leo Carlsson,C,665
8484158,0.10102362276192393,Easton Cowan,R,118
8484164,0.19848027617437325,Dalibor Dvorsky,R,137
8484166,0.1457445297169283,Adam Fantilli,C,473
8484185,0.09844906600904509,Nick Lardis,L,58
8484186,0.1201873808510043,Ryan Leonard,R,201
8484197,0.040793960539764765,Oliver Moore,C,94
8484210,0.0705532025087278,Gabe Perreault,R,76
8484221,0.1395961670162907,Calum Ritchie,C,128
8484223,-0.0383760322319435,Axel Sandin-Pellikka,D,127
8484227,0.1569177552450244,Will Smith,C,361
8484240,0.027725495404368874,Tom Willander,D,128
8484241,0.08071030269043876,Matthew Wood,R,114
8484258,-0.07890491375836008,Sam Malinski,D,298
8484304,-0.05267951777581321,Uvis Balinskis,D,400
8484305,-0.03474321192759132,Zach Metsa,D,57
8484321,-0.092092938158784,Nikolas Matinpalo,D,177
8484386,-0.008356639528872842,Dmitri Simashev,D,54
8484387,0.18784579267368523,Matvei Michkov,R,373
8484471,0.10951318962068077,Emmitt Finnie,C,148
8484762,0.16367373658232914,Beckett Sennecke,R,225
8484768,0.06169296749809874,Zayne Parekh,D,81
8484783,0.07651321909506931,Artyom Levshunov,D,238
8484798,0.07350257502508631,Zeev Buium,D,165
8484800,0.08380084317353358,Berkly Catton,C,79
8484801,0.1751925389740159,Macklin Celebrini,C,490
8484806,-0.045706051370785816,Sam Dickinson,D,156
8484829,0.03878261372335459,Justin Hryckowian,C,135
8484860,0.11078745013318114,Matvei Gridin,R,68
8484911,-0.06986466872535499,Collin Graf,R,336
8484938,-0.0789869107539439,Arttu Hyry,R,55
8484958,0.10181562112321826,Maxim Tsyplakov,R,162
8484984,0.13909057460405871,Ivan Demidov,R,218
8485366,0.053621745896822705,Matthew Schaefer,D,260
8485402,0.01272123276746991,Michael Misa,C,57
8485414,0.1790290794236694,Ben Kindel,C,145
8485702,0.11627124750094017,Max Shabanov,R,73
