,rapm,name,pos,events_onice
8475780,-0.026770728761168434,Chris Wagner,R,53
8475784,0.1564266868337962,Jeff Skinner,L,365
8475786,0.2169557827299218,Zach Hyman,L,607
8475790,-0.26889239958810957,Erik Gudbranson,D,384
8475791,0.1459079283310446,Taylor Hall,L,303
8475793,0.012141590182754776,Ryan Johansen,C,157
8475794,0.037269277232112596,Tyler Seguin,C,213
8475797,-0.045173192059644256,Jarred Tinordi,D,96
8475798,0.16090677885363328,Mikael Granlund,C,758
8475799,0.16203195689484712,Nino Niederreiter,R,327
8475810,0.10065078087593608,Bryan Rust,R,660
8475825,-0.19068218461590544,Jani Hakanpää,D,190
8475842,-0.04747794406344196,Sam Carrick,C,431
8475848,0.10960295166604438,Brendan Gallagher,R,390
8475855,0.13492540010745327,Jesper Fast,R,78
8475906,0.033304385480146595,John Klingberg,D,232
8475913,0.24273147153739172,Mark Stone,R,571
8476278,-0.008467313828977995,Colin Blackwell,C,403
8476292,0.11408539729845084,Ondrej Palat,L,299
8476312,-0.1742378915115669,Josh Manson,D,504
8476331,-0.2444907884342704,Dylan DeMelo,D,720
8476346,0.21852239015919167,Johnny Gaudreau,L,247
8476372,-0.16561844531377543,Nick Seeler,D,430
8476374,-0.15572750394296744,Sean Kuraly,C,478
8476389,0.06981157781841153,Vincent Trocheck,C,897
8476392,-0.14505591588706865,Adam Lowry,C,529
8476393,0.06937722791332922,Nick Cousins,C,337
8476399,0.0918708908530756,Blake Coleman,L,598
8476419,-0.10472085183256369,Jean-Gabriel Pageau,C,560
8476422,-0.03164051623375125,Mike Reilly,D,192
8476429,-0.2097023882433709,Scott Mayfield,D,390
8476432,0.029058059130184954,Boone Jenner,C,398
8476438,0.050738183329347174,Brandon Saad,L,327
8476441,-0.21091408008314316,Joel Edmundson,D,513
8476442,-0.040920114300507744,Matt Nieto,L,106
8476448,0.03305837104353829,William Karlsson,C,392
8476453,0.19682581606904828,Nikita Kucherov,R,805
8476454,0.0741493329509718,Ryan Nugent-Hopkins,C,904
8476455,0.08800519903618598,Gabriel Landeskog,L,148
8476456,0.18397160170637125,Jonathan Huberdeau,L,693
8476457,-0.3530350692951918,Adam Larsson,D,757
8476458,0.19483294866919568,Ryan Strome,C,557
8476459,0.1020289628295337,Mika Zibanejad,C,948
8476460,0.18986984248684027,Mark Scheifele,C,728
